roi_name,roi_labels
cortex_desikan,1001;1002;1003;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;2001;2002;2003;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
meta_temporal,18;54;1006;1007;1009;1015;1016;2006;2007;2009;2015;2016
braak2,1006;2006
braak3,18;54;1007;1013;1016;2007;2013;2016
braak4,1009;1015;1035;2009;2015;2035
braak5,1001;1002;1003;1005;1008;1010;1011;1012;1014;1018;1019;1020;1023;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;2001;2002;2003;2005;2008;2010;2011;2012;2014;2018;2019;2020;2023;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034
braak6,1017;1021;1022;1024;2017;2021;2022;2024
cortical_summary_index,1002; 1003; 1008; 1009; 1010; 1012; 1014; 1015; 1018; 1019; 1020; 1023; 1025; 1026; 1027; 1028; 1029; 1030; 1031; 1032; 2002; 2003; 2008; 2009; 2010; 2012; 2014; 2015; 2018; 2019; 2020; 2023; 2025; 2026; 2027; 2028; 2029; 2030; 2031; 2032
whole_cerebellum,7; 8; 46; 47
lh_cortex_desikan,1001;1002;1003;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035
rh_cortex_desikan,2001;2002;2003;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
bankssts,1001;2001
caudalanteriorcingulate,1002;2002
caudalmiddlefrontal,1003;2003
cuneus,1005;2005
entorhinal,1006;2006
fusiform,1007;2007
inferiorparietal,1008;2008
inferiortemporal,1009;2009
isthmuscingulate,1010;2010
lateraloccipital,1011;2011
lateralorbitofrontal,1012;2012
lingual,1013;2013
medialorbitofrontal,1014;2014
